,Unnamed: 0,word,sentiment,lexicon,score,part
282,283,bravery,positive,nrc,,NN
283,284,breakfast,positive,nrc,,NN
284,285,bridal,positive,nrc,,NN
285,286,bride,positive,nrc,,NN
286,287,bridegroom,positive,nrc,,NN
287,288,bridesmaid,positive,nrc,,NN
288,289,brighten,positive,nrc,,NN
289,290,brightness,positive,nrc,,NN
290,291,brilliant,positive,nrc,,NN
291,292,brocade,positive,nrc,,NN
292,293,brother,positive,nrc,,NN
293,294,brotherhood,positive,nrc,,NN
294,295,brotherly,positive,nrc,,RB
295,296,buck,positive,nrc,,NN
296,297,buddy,positive,nrc,,NN
297,298,build,positive,nrc,,NN
298,299,building,positive,nrc,,NN
299,300,bulldog,positive,nrc,,NN
300,301,bulletproof,positive,nrc,,NN
301,302,buoy,positive,nrc,,NN
302,303,buss,positive,nrc,,NN
303,304,butler,positive,nrc,,NN
304,305,buttery,positive,nrc,,NN
305,306,buxom,positive,nrc,,NN
306,307,buzz,positive,nrc,,NN
307,308,cab,positive,nrc,,NN
308,309,cabinet,positive,nrc,,NN
309,310,cafe,positive,nrc,,NN
310,311,calculator,positive,nrc,,NN
311,312,calf,positive,nrc,,NN
312,313,calm,positive,nrc,,NN
313,314,canary,positive,nrc,,NN
314,315,candid,positive,nrc,,NN
315,316,candidate,positive,nrc,,NN
316,317,candied,positive,nrc,,VBN
317,318,capitalist,positive,nrc,,NN
318,319,captain,positive,nrc,,NN
319,320,captivate,positive,nrc,,NN
320,321,captivating,positive,nrc,,VBG
321,322,career,positive,nrc,,NN
322,323,careful,positive,nrc,,NN
323,324,carefully,positive,nrc,,RB
324,325,caress,positive,nrc,,NN
325,326,caretaker,positive,nrc,,NN
326,327,carol,positive,nrc,,NN
327,328,cascade,positive,nrc,,NN
328,329,cash,positive,nrc,,NN
329,330,categorical,positive,nrc,,JJ
330,331,cater,positive,nrc,,NN
331,332,cathartic,positive,nrc,,JJ
332,333,cathedral,positive,nrc,,JJ
333,334,cautious,positive,nrc,,JJ
334,335,cautiously,positive,nrc,,RB
335,336,celebrated,positive,nrc,,VBN
336,337,celebrating,positive,nrc,,VBG
337,338,celebration,positive,nrc,,NN
338,339,celebrity,positive,nrc,,NN
339,340,celestial,positive,nrc,,NN
340,341,center,positive,nrc,,NN
341,342,centurion,positive,nrc,,NN
342,343,cerebral,positive,nrc,,JJ
343,344,ceremony,positive,nrc,,NN
344,345,certainty,positive,nrc,,NN
345,346,chairman,positive,nrc,,NN
346,347,chairwoman,positive,nrc,,NN
347,348,champion,positive,nrc,,NN
348,349,chant,positive,nrc,,NN
349,350,charger,positive,nrc,,NN
350,351,charitable,positive,nrc,,JJ
351,352,charity,positive,nrc,,NN
352,353,charm,positive,nrc,,NN
353,354,charmed,positive,nrc,,VBN
354,355,charming,positive,nrc,,VBG
